N	S	F
2992	159061.000000	4223.554072
2573	177041.000000	3972.858543
2192	183019.000000	3751.379080
2018	178118.000000	3552.653938
1804	164617.000000	3374.084024
1618	145162.000000	3218.060596
1536	122950.000000	3093.664494
1481	100322.000000	3006.970236
1512	79235.000000	2943.715849
1541	60491.000000	2894.504966
1402	43807.000000	2855.983368
1453	29287.000000	2833.248842
1503	16766.000000	2831.075414
1569	5527.000000	2840.921505
1588	-4599.000000	2852.224921
1519	-12387.000000	2854.985639
1703	-18293.000000	2849.913858
1554	-22031.000000	2844.251220
1611	-22742.000000	2842.715603
1598	-20532.000000	2837.306469
1583	-16637.000000	2826.928899
1542	-10929.000000	2800.758290
1497	-4435.000000	2762.656149
1393	901.000000	2729.854025
1290	5115.000000	2705.792121
1478	7889.000000	2689.116769
1328	8876.000000	2673.421777
1306	8467.000000	2652.089554
1289	8210.000000	2623.598292
1308	7893.000000	2603.208981
1252	8646.000000	2588.716670
1285	10556.000000	2582.176214
1194	14098.000000	2582.810872
1265	18971.000000	2581.423832
1277	24958.000000	2579.985659
1153	31002.000000	2586.385122
1185	37280.000000	2604.003840
1266	43093.000000	2642.252637
1270	47995.000000	2699.142271
1351	52332.000000	2763.241575
1417	56423.000000	2835.844671
1478	59495.000000	2920.908249
1606	60766.000000	3021.776630
1711	58802.000000	3133.032716
1912	52070.000000	3247.354000
2051	38846.000000	3360.489548
2235	18899.000000	3479.892958
2454	-6923.000000	3610.371034
2754	-35496.000000	3743.910255
3124	-64486.000000	3867.929162
3179	-89940.000000	3965.872918
3467	-109603.000000	4031.879338
3433	-121408.000000	4072.119104
3542	-126538.000000	4094.582274
3499	-124229.000000	4099.650595
3509	-115766.000000	4090.154765
3401	-101367.000000	4058.616390
3318	-82813.000000	4008.447455
3043	-59385.000000	3938.466834
3021	-33980.000000	3847.402760
2667	-9025.000000	3742.044227
2433	12663.000000	3629.683871
2291	29362.000000	3516.460436
2117	37982.000000	3415.259287
1963	39546.000000	3323.370879
1961	35836.000000	3236.304065
1843	28437.000000	3154.704582
1723	19642.000000	3071.552376
1735	12539.000000	2984.627447
1606	7232.000000	2893.552833
1484	3570.000000	2801.296486
1368	2289.000000	2712.177538
1357	3241.000000	2634.423846
1257	5346.000000	2566.248234
1149	9275.000000	2497.490941
1137	14808.000000	2416.898012
984	20629.000000	2321.563482
893	25065.000000	2225.391426
725	27874.000000	2142.913904
797	27802.000000	2086.798026
733	25086.000000	2051.606687
755	20585.000000	2025.367868
